Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
41,7,4,196,9,Some Random Commen with Id 41
42,7,4,143,4,Some Random Commen with Id 42
43,7,4,127,4,Some Random Commen with Id 43
44,7,4,107,1,Some Random Commen with Id 44
45,8,4,135,1,Some Random Commen with Id 45
46,8,4,199,1,Some Random Commen with Id 46
47,9,9,183,5,Some Random Commen with Id 47
48,9,9,182,0,Some Random Commen with Id 48
49,9,9,12,1,Some Random Commen with Id 49
50,9,9,183,5,Some Random Commen with Id 50
51,9,9,197,3,Some Random Commen with Id 51
52,9,9,80,8,Some Random Commen with Id 52
53,10,6,86,7,Some Random Commen with Id 53
54,11,4,109,4,Some Random Commen with Id 54
55,11,4,182,2,Some Random Commen with Id 55
56,11,4,33,1,Some Random Commen with Id 56
57,11,4,85,0,Some Random Commen with Id 57
58,12,7,49,4,Some Random Commen with Id 58
59,12,7,161,9,Some Random Commen with Id 59
60,12,7,153,5,Some Random Commen with Id 60
61,12,7,97,8,Some Random Commen with Id 61
62,12,7,197,2,Some Random Commen with Id 62
63,12,7,165,7,Some Random Commen with Id 63
64,12,7,111,2,Some Random Commen with Id 64
65,13,2,131,6,Some Random Commen with Id 65
66,14,6,128,1,Some Random Commen with Id 66
67,14,6,157,6,Some Random Commen with Id 67
68,14,6,27,9,Some Random Commen with Id 68
69,14,6,104,1,Some Random Commen with Id 69
70,14,6,65,1,Some Random Commen with Id 70
71,14,6,89,8,Some Random Commen with Id 71
72,14,6,98,2,Some Random Commen with Id 72
73,14,6,91,7,Some Random Commen with Id 73
74,16,2,14,7,Some Random Commen with Id 74
75,17,1,21,9,Some Random Commen with Id 75
76,17,1,158,2,Some Random Commen with Id 76
77,17,1,176,9,Some Random Commen with Id 77
78,17,1,171,4,Some Random Commen with Id 78
79,17,1,160,9,Some Random Commen with Id 79
80,18,2,129,7,Some Random Commen with Id 80
81,18,2,119,5,Some Random Commen with Id 81
82,18,2,162,9,Some Random Commen with Id 82
83,18,2,139,7,Some Random Commen with Id 83
84,18,2,101,6,Some Random Commen with Id 84
85,18,2,173,6,Some Random Commen with Id 85
86,18,2,177,2,Some Random Commen with Id 86
87,18,2,143,4,Some Random Commen with Id 87
88,19,2,90,6,Some Random Commen with Id 88
89,19,2,194,8,Some Random Commen with Id 89
90,19,2,197,0,Some Random Commen with Id 90
91,19,2,193,2,Some Random Commen with Id 91
92,20,8,112,5,Some Random Commen with Id 92
93,21,2,116,2,Some Random Commen with Id 93
94,21,2,199,1,Some Random Commen with Id 94
95,21,2,173,4,Some Random Commen with Id 95
96,21,2,136,4,Some Random Commen with Id 96
97,21,2,6,9,Some Random Commen with Id 97
98,23,9,106,1,Some Random Commen with Id 98
99,25,6,100,5,Some Random Commen with Id 99
100,25,6,88,0,Some Random Commen with Id 100
101,25,6,115,7,Some Random Commen with Id 101
102,26,6,5,5,Some Random Commen with Id 102
103,27,5,96,6,Some Random Commen with Id 103
104,27,5,167,5,Some Random Commen with Id 104
105,27,5,62,1,Some Random Commen with Id 105
106,27,5,11,8,Some Random Commen with Id 106
107,27,5,1,3,Some Random Commen with Id 107
108,27,5,182,3,Some Random Commen with Id 108
109,27,5,132,6,Some Random Commen with Id 109
110,28,3,68,8,Some Random Commen with Id 110
111,28,3,146,9,Some Random Commen with Id 111
112,28,3,197,7,Some Random Commen with Id 112
113,28,3,29,6,Some Random Commen with Id 113
114,28,3,25,2,Some Random Commen with Id 114
115,28,3,80,0,Some Random Commen with Id 115
116,28,3,195,3,Some Random Commen with Id 116
117,28,3,3,8,Some Random Commen with Id 117
118,29,8,89,8,Some Random Commen with Id 118
119,30,3,74,8,Some Random Commen with Id 119
120,30,3,3,7,Some Random Commen with Id 120
121,30,3,191,3,Some Random Commen with Id 121
122,30,3,107,4,Some Random Commen with Id 122
123,30,3,164,8,Some Random Commen with Id 123
124,30,3,18,8,Some Random Commen with Id 124
125,31,9,10,8,Some Random Commen with Id 125
126,31,9,71,5,Some Random Commen with Id 126
127,31,9,191,2,Some Random Commen with Id 127
128,31,9,191,2,Some Random Commen with Id 128
129,31,9,142,9,Some Random Commen with Id 129
130,31,9,114,7,Some Random Commen with Id 130
131,32,7,185,2,Some Random Commen with Id 131
132,32,7,17,1,Some Random Commen with Id 132
133,32,7,16,9,Some Random Commen with Id 133
134,32,7,175,6,Some Random Commen with Id 134
135,32,7,158,6,Some Random Commen with Id 135
136,32,7,58,4,Some Random Commen with Id 136
137,32,7,187,9,Some Random Commen with Id 137
138,33,9,84,5,Some Random Commen with Id 138
139,33,9,183,4,Some Random Commen with Id 139
140,33,9,145,2,Some Random Commen with Id 140
141,33,9,130,5,Some Random Commen with Id 141
142,33,9,112,2,Some Random Commen with Id 142
143,33,9,137,1,Some Random Commen with Id 143
144,33,9,187,6,Some Random Commen with Id 144
145,33,9,93,6,Some Random Commen with Id 145
146,33,9,116,8,Some Random Commen with Id 146
147,34,9,120,1,Some Random Commen with Id 147
148,34,9,105,8,Some Random Commen with Id 148
149,34,9,41,8,Some Random Commen with Id 149
150,34,9,51,0,Some Random Commen with Id 150
151,34,9,126,3,Some Random Commen with Id 151
152,34,9,107,4,Some Random Commen with Id 152
153,34,9,53,6,Some Random Commen with Id 153
154,34,9,183,8,Some Random Commen with Id 154
155,35,5,13,5,Some Random Commen with Id 155
156,35,5,143,4,Some Random Commen with Id 156
157,36,5,153,2,Some Random Commen with Id 157
158,36,5,182,0,Some Random Commen with Id 158
159,36,5,109,1,Some Random Commen with Id 159
160,36,5,171,3,Some Random Commen with Id 160
161,36,5,56,7,Some Random Commen with Id 161
162,36,5,37,4,Some Random Commen with Id 162
163,36,5,84,8,Some Random Commen with Id 163
164,36,5,83,1,Some Random Commen with Id 164
165,38,9,168,5,Some Random Commen with Id 165
166,38,9,40,2,Some Random Commen with Id 166
167,38,9,178,6,Some Random Commen with Id 167
168,39,4,54,5,Some Random Commen with Id 168
169,39,4,98,2,Some Random Commen with Id 169
170,39,4,194,5,Some Random Commen with Id 170
